phrase_id,category,subcategory,canonical_text,tts_text,key_terms,difficulty
CLIN3_00001,Aminas e inotrópicos,Infusiones,Norepinefrina a 0.03 mcg/kg/min.,Norepinefrina a cero punto cero tres microgramos por kilo por minuto.,norepinefrina|0.03|mcg/kg/min,hard
CLIN3_00002,Aminas e inotrópicos,Infusiones,Norepinefrina a 0.05 mcg/kg/min.,Norepinefrina a cero punto cero cinco microgramos por kilo por minuto.,norepinefrina|0.05|mcg/kg/min,hard
CLIN3_00003,Aminas e inotrópicos,Infusiones,Norepinefrina a 0.08 mcg/kg/min.,Norepinefrina a cero punto cero ocho microgramos por kilo por minuto.,norepinefrina|0.08|mcg/kg/min,hard
CLIN3_00004,Aminas e inotrópicos,Infusiones,Norepinefrina a 0.1 mcg/kg/min.,Norepinefrina a cero punto uno microgramos por kilo por minuto.,norepinefrina|0.1|mcg/kg/min,hard
CLIN3_00005,Aminas e inotrópicos,Infusiones,Norepinefrina a 0.15 mcg/kg/min.,Norepinefrina a cero punto quince microgramos por kilo por minuto.,norepinefrina|0.15|mcg/kg/min,hard
CLIN3_00006,Aminas e inotrópicos,Infusiones,Norepinefrina a 0.2 mcg/kg/min.,Norepinefrina a cero punto dos microgramos por kilo por minuto.,norepinefrina|0.2|mcg/kg/min,hard
CLIN3_00007,Aminas e inotrópicos,Infusiones,Norepinefrina a 0.3 mcg/kg/min.,Norepinefrina a cero punto tres microgramos por kilo por minuto.,norepinefrina|0.3|mcg/kg/min,hard
CLIN3_00008,Aminas e inotrópicos,Infusiones,Epinefrina a 0.02 mcg/kg/min.,Epinefrina a cero punto cero dos microgramos por kilo por minuto.,epinefrina|0.02|mcg/kg/min,hard
CLIN3_00009,Aminas e inotrópicos,Infusiones,Epinefrina a 0.05 mcg/kg/min.,Epinefrina a cero punto cero cinco microgramos por kilo por minuto.,epinefrina|0.05|mcg/kg/min,hard
CLIN3_00010,Aminas e inotrópicos,Infusiones,Epinefrina a 0.1 mcg/kg/min.,Epinefrina a cero punto uno microgramos por kilo por minuto.,epinefrina|0.1|mcg/kg/min,hard
CLIN3_00011,Aminas e inotrópicos,Infusiones,Epinefrina a 0.2 mcg/kg/min.,Epinefrina a cero punto dos microgramos por kilo por minuto.,epinefrina|0.2|mcg/kg/min,hard
CLIN3_00012,Aminas e inotrópicos,Infusiones,Vasopresina a 0.02 U/min.,Vasopresina a cero punto cero dos unidades por minuto.,vasopresina|0.02|U/min,hard
CLIN3_00013,Aminas e inotrópicos,Infusiones,Vasopresina a 0.03 U/min.,Vasopresina a cero punto cero tres unidades por minuto.,vasopresina|0.03|U/min,hard
CLIN3_00014,Aminas e inotrópicos,Infusiones,Vasopresina a 0.04 U/min.,Vasopresina a cero punto cero cuatro unidades por minuto.,vasopresina|0.04|U/min,hard
CLIN3_00015,Aminas e inotrópicos,Infusiones,Dobutamina a 2.5 mcg/kg/min.,Dobutamina a dos punto cinco microgramos por kilo por minuto.,dobutamina|2.5|mcg/kg/min,hard
CLIN3_00016,Aminas e inotrópicos,Infusiones,Dobutamina a 5 mcg/kg/min.,Dobutamina a cinco microgramos por kilo por minuto.,dobutamina|5|mcg/kg/min,hard
CLIN3_00017,Aminas e inotrópicos,Infusiones,Dobutamina a 7.5 mcg/kg/min.,Dobutamina a siete punto cinco microgramos por kilo por minuto.,dobutamina|7.5|mcg/kg/min,hard
CLIN3_00018,Aminas e inotrópicos,Infusiones,Dobutamina a 10 mcg/kg/min.,Dobutamina a diez microgramos por kilo por minuto.,dobutamina|10|mcg/kg/min,hard
CLIN3_00019,Aminas e inotrópicos,Infusiones,Milrinona a 0.125 mcg/kg/min.,Milrinona a cero punto ciento veinticinco microgramos por kilo por minuto.,milrinona|0.125|mcg/kg/min,hard
CLIN3_00020,Aminas e inotrópicos,Infusiones,Milrinona a 0.25 mcg/kg/min.,Milrinona a cero punto veinticinco microgramos por kilo por minuto.,milrinona|0.25|mcg/kg/min,hard
CLIN3_00021,Aminas e inotrópicos,Infusiones,Milrinona a 0.375 mcg/kg/min.,Milrinona a cero punto trescientos setenta y cinco microgramos por kilo por minuto.,milrinona|0.375|mcg/kg/min,hard
CLIN3_00022,Aminas e inotrópicos,Infusiones,Milrinona a 0.5 mcg/kg/min.,Milrinona a cero punto cinco microgramos por kilo por minuto.,milrinona|0.5|mcg/kg/min,hard
CLIN3_00023,Aminas e inotrópicos,Infusiones,Fenilefrina a 0.2 mcg/kg/min.,Fenilefrina a cero punto dos microgramos por kilo por minuto.,fenilefrina|0.2|mcg/kg/min,hard
CLIN3_00024,Aminas e inotrópicos,Infusiones,Fenilefrina a 0.5 mcg/kg/min.,Fenilefrina a cero punto cinco microgramos por kilo por minuto.,fenilefrina|0.5|mcg/kg/min,hard
CLIN3_00025,Aminas e inotrópicos,Infusiones,Fenilefrina a 1.0 mcg/kg/min.,Fenilefrina a uno punto cero microgramos por kilo por minuto.,fenilefrina|1.0|mcg/kg/min,hard
CLIN3_00026,Aminas e inotrópicos,Infusiones,Fenilefrina a 1.5 mcg/kg/min.,Fenilefrina a uno punto cinco microgramos por kilo por minuto.,fenilefrina|1.5|mcg/kg/min,hard
CLIN3_00027,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y vasopresina, titular para PAM de 60 mmHg.","Continúa norepinefrina y vasopresina, titular para PAM de sesenta milímetros de mercurio.",norepinefrina|vasopresina|PAM,standard
CLIN3_00028,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y vasopresina, titular para PAM de 65 mmHg.","Continúa norepinefrina y vasopresina, titular para PAM de sesenta y cinco milímetros de mercurio.",norepinefrina|vasopresina|PAM,standard
CLIN3_00029,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y vasopresina, titular para PAM de 70 mmHg.","Continúa norepinefrina y vasopresina, titular para PAM de setenta milímetros de mercurio.",norepinefrina|vasopresina|PAM,standard
CLIN3_00030,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y vasopresina, titular para PAM de 75 mmHg.","Continúa norepinefrina y vasopresina, titular para PAM de setenta y cinco milímetros de mercurio.",norepinefrina|vasopresina|PAM,standard
CLIN3_00031,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y dobutamina, titular para PAM de 60 mmHg.","Continúa norepinefrina y dobutamina, titular para PAM de sesenta milímetros de mercurio.",norepinefrina|dobutamina|PAM,standard
CLIN3_00032,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y dobutamina, titular para PAM de 65 mmHg.","Continúa norepinefrina y dobutamina, titular para PAM de sesenta y cinco milímetros de mercurio.",norepinefrina|dobutamina|PAM,standard
CLIN3_00033,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y dobutamina, titular para PAM de 70 mmHg.","Continúa norepinefrina y dobutamina, titular para PAM de setenta milímetros de mercurio.",norepinefrina|dobutamina|PAM,standard
CLIN3_00034,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y dobutamina, titular para PAM de 75 mmHg.","Continúa norepinefrina y dobutamina, titular para PAM de setenta y cinco milímetros de mercurio.",norepinefrina|dobutamina|PAM,standard
CLIN3_00035,Aminas e inotrópicos,Titulación,"Continúa epinefrina y vasopresina, titular para PAM de 60 mmHg.","Continúa epinefrina y vasopresina, titular para PAM de sesenta milímetros de mercurio.",epinefrina|vasopresina|PAM,standard
CLIN3_00036,Aminas e inotrópicos,Titulación,"Continúa epinefrina y vasopresina, titular para PAM de 65 mmHg.","Continúa epinefrina y vasopresina, titular para PAM de sesenta y cinco milímetros de mercurio.",epinefrina|vasopresina|PAM,standard
CLIN3_00037,Aminas e inotrópicos,Titulación,"Continúa epinefrina y vasopresina, titular para PAM de 70 mmHg.","Continúa epinefrina y vasopresina, titular para PAM de setenta milímetros de mercurio.",epinefrina|vasopresina|PAM,standard
CLIN3_00038,Aminas e inotrópicos,Titulación,"Continúa epinefrina y vasopresina, titular para PAM de 75 mmHg.","Continúa epinefrina y vasopresina, titular para PAM de setenta y cinco milímetros de mercurio.",epinefrina|vasopresina|PAM,standard
CLIN3_00039,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y epinefrina, titular para PAM de 60 mmHg.","Continúa norepinefrina y epinefrina, titular para PAM de sesenta milímetros de mercurio.",norepinefrina|epinefrina|PAM,standard
CLIN3_00040,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y epinefrina, titular para PAM de 65 mmHg.","Continúa norepinefrina y epinefrina, titular para PAM de sesenta y cinco milímetros de mercurio.",norepinefrina|epinefrina|PAM,standard
CLIN3_00041,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y epinefrina, titular para PAM de 70 mmHg.","Continúa norepinefrina y epinefrina, titular para PAM de setenta milímetros de mercurio.",norepinefrina|epinefrina|PAM,standard
CLIN3_00042,Aminas e inotrópicos,Titulación,"Continúa norepinefrina y epinefrina, titular para PAM de 75 mmHg.","Continúa norepinefrina y epinefrina, titular para PAM de setenta y cinco milímetros de mercurio.",norepinefrina|epinefrina|PAM,standard
CLIN3_00043,Aminas e inotrópicos,Cobertura clínica optimizada,Norepinefrina titulada de cero punto ocho a cero punto seis microgramos por kilo por minuto.,Norepinefrina titulada de cero punto ocho a cero punto seis microgramos por kilo por minuto.,norepinefrina|0.8|0.6|mcg/kg/min,challenge
CLIN3_00044,Aminas e inotrópicos,Cobertura clínica optimizada,Norepinefrina en aumento progresivo por hipotensión persistente.,Norepinefrina en aumento progresivo por hipotensión persistente.,norepinefrina|hipotensión,challenge
CLIN3_00045,Aminas e inotrópicos,Cobertura clínica optimizada,Vasopresina añadida como segundo vasopresor.,Vasopresina añadida como segundo vasopresor.,vasopresina|segundo vasopresor,challenge
CLIN3_00046,Aminas e inotrópicos,Cobertura clínica optimizada,Epinefrina añadida por choque refractario.,Epinefrina añadida por choque refractario.,epinefrina|choque refractario,challenge
CLIN3_00047,Aminas e inotrópicos,Cobertura clínica optimizada,Dobutamina iniciada por bajo gasto cardiaco.,Dobutamina iniciada por bajo gasto cardiaco.,dobutamina|bajo gasto,challenge
CLIN3_00048,Aminas e inotrópicos,Cobertura clínica optimizada,Milrinona iniciada por disfunción ventricular derecha.,Milrinona iniciada por disfunción ventricular derecha.,milrinona|ventrículo derecho,challenge
CLIN3_00049,Aminas e inotrópicos,Cobertura clínica optimizada,Se retira vasopresina tras estabilidad hemodinámica sostenida.,Se retira vasopresina tras estabilidad hemodinámica sostenida.,vasopresina|retiro,challenge
CLIN3_00050,Aminas e inotrópicos,Cobertura clínica optimizada,Se disminuye norepinefrina manteniendo PAM mayor de sesenta y cinco.,Se disminuye norepinefrina manteniendo PAM mayor de sesenta y cinco.,norepinefrina|PAM|65,challenge
CLIN3_00051,Aminas e inotrópicos,Cobertura clínica optimizada,Se aumenta norepinefrina tras caída de la PAM a cincuenta y cinco.,Se aumenta norepinefrina tras caída de la PAM a cincuenta y cinco.,norepinefrina|PAM|55,challenge
CLIN3_00052,Aminas e inotrópicos,Cobertura clínica optimizada,Dobutamina suspendida por taquiarritmia.,Dobutamina suspendida por taquiarritmia.,dobutamina|taquiarritmia,challenge
CLIN3_00053,Aminas e inotrópicos,Cobertura clínica optimizada,Epinefrina reducida por hiperlactatemia y taquicardia.,Epinefrina reducida por hiperlactatemia y taquicardia.,epinefrina|lactato|taquicardia,challenge
