id,frase,etiqueta,familia,padecimiento
T0001,"tuvo neumonía hace tres años",pasado,"pretérito + marca de cuándo","neumonía"
T0002,"tuvo COVID-19 hace tres años",pasado,"pretérito + marca de cuándo","COVID-19"
T0003,"tuvo fractura hace tres años",pasado,"pretérito + marca de cuándo","fractura"
T0004,"tuvo cirugía hace tres años",pasado,"pretérito + marca de cuándo","cirugía"
T0005,"tuvo trombosis venosa hace tres años",pasado,"pretérito + marca de cuándo","trombosis venosa"
T0006,"tuvo embolia pulmonar hace tres años",pasado,"pretérito + marca de cuándo","embolia pulmonar"
T0007,"tuvo evento vascular cerebral hace tres años",pasado,"pretérito + marca de cuándo","evento vascular cerebral"
T0008,"tuvo hemorragia digestiva hace tres años",pasado,"pretérito + marca de cuándo","hemorragia digestiva"
T0009,"tuvo pancreatitis hace tres años",pasado,"pretérito + marca de cuándo","pancreatitis"
T0010,"tuvo infección urinaria hace tres años",pasado,"pretérito + marca de cuándo","infección urinaria"
T0011,"tuvo dengue hace tres años",pasado,"pretérito + marca de cuándo","dengue"
T0012,"tuvo hepatitis hace tres años",pasado,"pretérito + marca de cuándo","hepatitis"
T0013,"tuvo diabetes hace tres años",pasado,"pretérito + marca de cuándo","diabetes"
T0014,"tuvo hipertensión hace tres años",pasado,"pretérito + marca de cuándo","hipertensión"
T0015,"tuvo asma hace tres años",pasado,"pretérito + marca de cuándo","asma"
T0016,"tuvo epilepsia hace tres años",pasado,"pretérito + marca de cuándo","epilepsia"
T0017,"tuvo neumonía hace años",pasado,"pretérito + marca sin cuantificador","neumonía"
T0018,"tuvo COVID-19 hace años",pasado,"pretérito + marca sin cuantificador","COVID-19"
T0019,"tuvo fractura hace años",pasado,"pretérito + marca sin cuantificador","fractura"
T0020,"tuvo cirugía hace años",pasado,"pretérito + marca sin cuantificador","cirugía"
T0021,"tuvo trombosis venosa hace años",pasado,"pretérito + marca sin cuantificador","trombosis venosa"
T0022,"tuvo embolia pulmonar hace años",pasado,"pretérito + marca sin cuantificador","embolia pulmonar"
T0023,"tuvo evento vascular cerebral hace años",pasado,"pretérito + marca sin cuantificador","evento vascular cerebral"
T0024,"tuvo hemorragia digestiva hace años",pasado,"pretérito + marca sin cuantificador","hemorragia digestiva"
T0025,"tuvo pancreatitis hace años",pasado,"pretérito + marca sin cuantificador","pancreatitis"
T0026,"tuvo infección urinaria hace años",pasado,"pretérito + marca sin cuantificador","infección urinaria"
T0027,"tuvo dengue hace años",pasado,"pretérito + marca sin cuantificador","dengue"
T0028,"tuvo hepatitis hace años",pasado,"pretérito + marca sin cuantificador","hepatitis"
T0029,"tuvo diabetes hace años",pasado,"pretérito + marca sin cuantificador","diabetes"
T0030,"tuvo hipertensión hace años",pasado,"pretérito + marca sin cuantificador","hipertensión"
T0031,"tuvo asma hace años",pasado,"pretérito + marca sin cuantificador","asma"
T0032,"tuvo epilepsia hace años",pasado,"pretérito + marca sin cuantificador","epilepsia"
T0033,"tenía neumonía cuando era joven",pasado,"copretérito","neumonía"
T0034,"tenía COVID-19 cuando era joven",pasado,"copretérito","COVID-19"
T0035,"tenía fractura cuando era joven",pasado,"copretérito","fractura"
T0036,"tenía cirugía cuando era joven",pasado,"copretérito","cirugía"
T0037,"tenía trombosis venosa cuando era joven",pasado,"copretérito","trombosis venosa"
T0038,"tenía embolia pulmonar cuando era joven",pasado,"copretérito","embolia pulmonar"
T0039,"tenía evento vascular cerebral cuando era joven",pasado,"copretérito","evento vascular cerebral"
T0040,"tenía hemorragia digestiva cuando era joven",pasado,"copretérito","hemorragia digestiva"
T0041,"tenía pancreatitis cuando era joven",pasado,"copretérito","pancreatitis"
T0042,"tenía infección urinaria cuando era joven",pasado,"copretérito","infección urinaria"
T0043,"tenía dengue cuando era joven",pasado,"copretérito","dengue"
T0044,"tenía hepatitis cuando era joven",pasado,"copretérito","hepatitis"
T0045,"tenía diabetes cuando era joven",pasado,"copretérito","diabetes"
