phrase_id,categoria,palabras_rotas,estado,canonical_text
CLIN3_00001,Aminas e inotrópicos,microgramos,REPARADA,Norepinefrina a 0.03 mcg/kg/min.
CLIN3_00002,Aminas e inotrópicos,microgramos,REPARADA,Norepinefrina a 0.05 mcg/kg/min.
CLIN3_00003,Aminas e inotrópicos,microgramos,REPARADA,Norepinefrina a 0.08 mcg/kg/min.
CLIN3_00004,Aminas e inotrópicos,microgramos,REPARADA,Norepinefrina a 0.1 mcg/kg/min.
CLIN3_00005,Aminas e inotrópicos,microgramos,REPARADA,Norepinefrina a 0.15 mcg/kg/min.
CLIN3_00006,Aminas e inotrópicos,microgramos,REPARADA,Norepinefrina a 0.2 mcg/kg/min.
CLIN3_00007,Aminas e inotrópicos,microgramos,REPARADA,Norepinefrina a 0.3 mcg/kg/min.
CLIN3_00008,Aminas e inotrópicos,microgramos,REPARADA,Epinefrina a 0.02 mcg/kg/min.
CLIN3_00009,Aminas e inotrópicos,microgramos,REPARADA,Epinefrina a 0.05 mcg/kg/min.
CLIN3_00010,Aminas e inotrópicos,microgramos,REPARADA,Epinefrina a 0.1 mcg/kg/min.
CLIN3_00011,Aminas e inotrópicos,microgramos,REPARADA,Epinefrina a 0.2 mcg/kg/min.
CLIN3_00015,Aminas e inotrópicos,microgramos,REPARADA,Dobutamina a 2.5 mcg/kg/min.
CLIN3_00016,Aminas e inotrópicos,microgramos,REPARADA,Dobutamina a 5 mcg/kg/min.
CLIN3_00017,Aminas e inotrópicos,microgramos,REPARADA,Dobutamina a 7.5 mcg/kg/min.
CLIN3_00018,Aminas e inotrópicos,microgramos,REPARADA,Dobutamina a 10 mcg/kg/min.
CLIN3_00019,Aminas e inotrópicos,microgramos,REPARADA,Milrinona a 0.125 mcg/kg/min.
CLIN3_00020,Aminas e inotrópicos,microgramos,REPARADA,Milrinona a 0.25 mcg/kg/min.
CLIN3_00021,Aminas e inotrópicos,microgramos,REPARADA,Milrinona a 0.375 mcg/kg/min.
CLIN3_00022,Aminas e inotrópicos,microgramos,REPARADA,Milrinona a 0.5 mcg/kg/min.
CLIN3_00023,Aminas e inotrópicos,microgramos,REPARADA,Fenilefrina a 0.2 mcg/kg/min.
CLIN3_00024,Aminas e inotrópicos,microgramos,REPARADA,Fenilefrina a 0.5 mcg/kg/min.
CLIN3_00025,Aminas e inotrópicos,microgramos,REPARADA,Fenilefrina a 1.0 mcg/kg/min.
CLIN3_00026,Aminas e inotrópicos,microgramos,REPARADA,Fenilefrina a 1.5 mcg/kg/min.
CLIN3_00043,Aminas e inotrópicos,microgramos,REPARADA,Norepinefrina titulada de cero punto ocho a cero punto seis microgramos por kilo por minuto.
CLIN3_00086,Antimicrobianos,gramosuiada,REPARADA,"Vancomicina dosis guiada por AUC/MIC, en infusión extendida."
CLIN3_00087,Antimicrobianos,gramosuiada,REPARADA,"Vancomicina dosis guiada por AUC/MIC, en infusión continua."
CLIN3_00088,Antimicrobianos,gramosuiada,REPARADA,"Vancomicina dosis guiada por AUC/MIC, con ajuste renal."
CLIN3_00089,Antimicrobianos,gramosuiada,REPARADA,"Vancomicina dosis guiada por AUC/MIC, sin ajuste renal."
CLIN3_00090,Antimicrobianos,gramosuiada,REPARADA,"Vancomicina dosis guiada por AUC/MIC, con monitorización de niveles."
CLIN3_00091,Antimicrobianos,miligramos,REPARADA,"Linezolid 600 mg cada 12 horas, en infusión extendida."
CLIN3_00092,Antimicrobianos,miligramos,REPARADA,"Linezolid 600 mg cada 12 horas, en infusión continua."
CLIN3_00093,Antimicrobianos,miligramos,REPARADA,"Linezolid 600 mg cada 12 horas, con ajuste renal."
CLIN3_00094,Antimicrobianos,miligramos,REPARADA,"Linezolid 600 mg cada 12 horas, sin ajuste renal."
CLIN3_00095,Antimicrobianos,miligramos,REPARADA,"Linezolid 600 mg cada 12 horas, con monitorización de niveles."
CLIN3_00096,Antimicrobianos,miligramos,REPARADA,"Daptomicina 10 mg/kg cada 24 horas, en infusión extendida."
CLIN3_00097,Antimicrobianos,miligramos,REPARADA,"Daptomicina 10 mg/kg cada 24 horas, en infusión continua."
CLIN3_00098,Antimicrobianos,miligramos,REPARADA,"Daptomicina 10 mg/kg cada 24 horas, con ajuste renal."
CLIN3_00099,Antimicrobianos,miligramos,REPARADA,"Daptomicina 10 mg/kg cada 24 horas, sin ajuste renal."
CLIN3_00100,Antimicrobianos,miligramos,REPARADA,"Daptomicina 10 mg/kg cada 24 horas, con monitorización de niveles."
CLIN3_00101,Antimicrobianos,miligramos,REPARADA,"Amikacina 15 mg/kg cada 24 horas, en infusión extendida."
CLIN3_00102,Antimicrobianos,miligramos,REPARADA,"Amikacina 15 mg/kg cada 24 horas, en infusión continua."
CLIN3_00103,Antimicrobianos,miligramos,REPARADA,"Amikacina 15 mg/kg cada 24 horas, con ajuste renal."
CLIN3_00104,Antimicrobianos,miligramos,REPARADA,"Amikacina 15 mg/kg cada 24 horas, sin ajuste renal."
CLIN3_00105,Antimicrobianos,miligramos,REPARADA,"Amikacina 15 mg/kg cada 24 horas, con monitorización de niveles."
CLIN3_00106,Antimicrobianos,miligramos,REPARADA,"Gentamicina 5 mg/kg cada 24 horas, en infusión extendida."
CLIN3_00107,Antimicrobianos,miligramos,REPARADA,"Gentamicina 5 mg/kg cada 24 horas, en infusión continua."
CLIN3_00108,Antimicrobianos,miligramos,REPARADA,"Gentamicina 5 mg/kg cada 24 horas, con ajuste renal."
CLIN3_00109,Antimicrobianos,miligramos,REPARADA,"Gentamicina 5 mg/kg cada 24 horas, sin ajuste renal."
CLIN3_00110,Antimicrobianos,miligramos,REPARADA,"Gentamicina 5 mg/kg cada 24 horas, con monitorización de niveles."
CLIN3_00159,Arritmias,gramosrado segramosundo,REPARADA,bloqueo AV de segundo grado con frecuencia ventricular de 35 lpm.
CLIN3_00160,Arritmias,gramosrado segramosundo,REPARADA,bloqueo AV de segundo grado con frecuencia ventricular de 45 lpm.
CLIN3_00161,Arritmias,gramosrado segramosundo,REPARADA,bloqueo AV de segundo grado con frecuencia ventricular de 80 lpm.
CLIN3_00162,Arritmias,gramosrado segramosundo,REPARADA,bloqueo AV de segundo grado con frecuencia ventricular de 120 lpm.
CLIN3_00163,Arritmias,gramosrado segramosundo,REPARADA,bloqueo AV de segundo grado con frecuencia ventricular de 150 lpm.
CLIN3_00164,Arritmias,gramosrado segramosundo,REPARADA,bloqueo AV de segundo grado con frecuencia ventricular de 180 lpm.
CLIN3_00166,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 800 mL y balance neto -1500 mL en 24 horas."
CLIN3_00167,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 800 mL y balance neto -500 mL en 24 horas."
CLIN3_00168,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 800 mL y balance neto 500 mL en 24 horas."
CLIN3_00169,Balance hídrico,Ingramosresos egramosresos mililitros,REPARADA,"Ingresos 1200 mL, egresos 800 mL y balance neto 1500 mL en 24 horas."
